Date,Country,Product,Price
13/10/2025,EU,exchange_rate,1623.05
13/10/2025,EU,euro95,1530.76
13/10/2025,EU,diesel,953.47
13/10/2025,EU,heading_oil,671.43
13/10/2025,EU,fuel_oil_1,462.62
13/10/2025,EU,fuel_oil_2,667.09
13/10/2025,EUR,exchange_rate,1671.62
13/10/2025,EUR,euro95,1557.26
13/10/2025,EUR,diesel,937.95
13/10/2025,EUR,heading_oil,626.59
13/10/2025,EUR,fuel_oil_1,412.96
13/10/2025,EUR,fuel_oil_2,733.34
13/10/2025,AT,exchange_rate,1503
13/10/2025,AT,euro95,1509
13/10/2025,AT,diesel,1073.5
13/10/2025,AT,heading_oil,
13/10/2025,AT,fuel_oil_1,
13/10/2025,AT,fuel_oil_2,
13/10/2025,BE,exchange_rate,1547.2
13/10/2025,BE,euro95,1637.3
13/10/2025,BE,diesel,777.8
13/10/2025,BE,heading_oil,397.4
13/10/2025,BE,fuel_oil_1,
13/10/2025,BE,fuel_oil_2,827
13/10/2025,BG,exchange_rate,0.511299724
13/10/2025,BG,euro95,1210.7
13/10/2025,BG,diesel,1204.4
13/10/2025,BG,heading_oil,
13/10/2025,BG,fuel_oil_1,
13/10/2025,BG,fuel_oil_2,
13/10/2025,BG,LPG,545.8
13/10/2025,CY,exchange_rate,1
13/10/2025,CY,euro95,1352.9
13/10/2025,CY,diesel,1443.1
13/10/2025,CY,heading_oil,1002.9
13/10/2025,CY,fuel_oil_1,819.6
13/10/2025,CY,fuel_oil_2,
13/10/2025,CY,LPG,
13/10/2025,CZ,exchange_rate,0.041054274
13/10/2025,CZ,euro95,1411
13/10/2025,CZ,diesel,1366.4
13/10/2025,CZ,heading_oil,822
13/10/2025,CZ,fuel_oil_1,
13/10/2025,CZ,fuel_oil_2,
13/10/2025,CZ,LPG,693.7
13/10/2025,DE,exchange_rate,1720
13/10/2025,DE,euro95,1584
13/10/2025,DE,diesel,924.8
13/10/2025,DE,heading_oil,
13/10/2025,DE,fuel_oil_1,
13/10/2025,DE,fuel_oil_2,1026.6
13/10/2025,DK,exchange_rate,0.133902867
13/10/2025,DK,euro95,1965.7
13/10/2025,DK,diesel,1740.7
13/10/2025,DK,heading_oil,1747.7
13/10/2025,DK,fuel_oil_1,1536.8
13/10/2025,DK,fuel_oil_2,
13/10/2025,DK,LPG,
13/10/2025,EE,exchange_rate,1
13/10/2025,EE,euro95,1420
13/10/2025,EE,diesel,1298
13/10/2025,EE,heading_oil,992
13/10/2025,EE,fuel_oil_1,
13/10/2025,EE,fuel_oil_2,
13/10/2025,EE,LPG,896
13/10/2025,ES,exchange_rate,1473.9
13/10/2025,ES,euro95,1404.7
13/10/2025,ES,diesel,896
13/10/2025,ES,heading_oil,569.6
13/10/2025,ES,fuel_oil_1,
13/10/2025,ES,fuel_oil_2,938.1
13/10/2025,FI,exchange_rate,1675.7
13/10/2025,FI,euro95,1574.4
13/10/2025,FI,diesel,1255.9
13/10/2025,FI,heading_oil,
13/10/2025,FI,fuel_oil_1,
13/10/2025,FI,fuel_oil_2,
13/10/2025,FR,exchange_rate,1714.3
13/10/2025,FR,euro95,1605.6
13/10/2025,FR,diesel,1108.3
13/10/2025,FR,heading_oil,
13/10/2025,FR,fuel_oil_1,
13/10/2025,FR,fuel_oil_2,952.6
13/10/2025,GR,exchange_rate,1741
13/10/2025,GR,euro95,1536
13/10/2025,GR,diesel,
13/10/2025,GR,heading_oil,667.8
13/10/2025,GR,fuel_oil_1,
13/10/2025,GR,fuel_oil_2,
13/10/2025,HR,exchange_rate,1
13/10/2025,HR,euro95,1449
13/10/2025,HR,diesel,1419
13/10/2025,HR,heading_oil,855
13/10/2025,HR,fuel_oil_1,604.6
13/10/2025,HR,fuel_oil_2,
13/10/2025,HR,LPG,812
13/10/2025,HU,exchange_rate,0.002546603
13/10/2025,HU,euro95,1469.5
13/10/2025,HU,diesel,1485.8
13/10/2025,HU,heading_oil,1485.8
13/10/2025,HU,fuel_oil_1,872.2
13/10/2025,HU,fuel_oil_2,
13/10/2025,HU,LPG,814.4
13/10/2025,IE,exchange_rate,1718.9
13/10/2025,IE,euro95,1666
13/10/2025,IE,diesel,949.9
13/10/2025,IE,heading_oil,939.9
13/10/2025,IE,fuel_oil_1,
13/10/2025,IE,fuel_oil_2,
13/10/2025,IT,exchange_rate,1699.3
13/10/2025,IT,euro95,1625.4
13/10/2025,IT,diesel,1375.6
13/10/2025,IT,heading_oil,533.3
13/10/2025,IT,fuel_oil_1,
13/10/2025,IT,fuel_oil_2,695.5
13/10/2025,LT,exchange_rate,1
13/10/2025,LT,euro95,1402.1
13/10/2025,LT,diesel,1464.7
13/10/2025,LT,heading_oil,858.1
13/10/2025,LT,fuel_oil_1,
13/10/2025,LT,fuel_oil_2,
13/10/2025,LT,LPG,669.7
13/10/2025,LU,exchange_rate,1473
13/10/2025,LU,euro95,1412
13/10/2025,LU,diesel,841
13/10/2025,LU,heading_oil,
13/10/2025,LU,fuel_oil_1,
13/10/2025,LU,fuel_oil_2,669
13/10/2025,LV,exchange_rate,1
13/10/2025,LV,euro95,1540.8
13/10/2025,LV,diesel,1521
13/10/2025,LV,heading_oil,1273.6
13/10/2025,LV,fuel_oil_1,
13/10/2025,LV,fuel_oil_2,
13/10/2025,LV,LPG,896
13/10/2025,MT,exchange_rate,1340
13/10/2025,MT,euro95,1210
13/10/2025,MT,diesel,1000
13/10/2025,MT,heading_oil,
13/10/2025,MT,fuel_oil_1,
13/10/2025,MT,fuel_oil_2,
13/10/2025,NL,exchange_rate,1941.8
13/10/2025,NL,euro95,1702
13/10/2025,NL,diesel,
13/10/2025,NL,heading_oil,
13/10/2025,NL,fuel_oil_1,
13/10/2025,NL,fuel_oil_2,766.9
13/10/2025,PL,exchange_rate,0.234659158
13/10/2025,PL,euro95,1376.9
13/10/2025,PL,diesel,1393.6
13/10/2025,PL,heading_oil,964.1
13/10/2025,PL,fuel_oil_1,553.2
13/10/2025,PL,fuel_oil_2,465.3
13/10/2025,PL,LPG,612.2
13/10/2025,PT,exchange_rate,1698
13/10/2025,PT,euro95,1543
13/10/2025,PT,diesel,1499
13/10/2025,PT,heading_oil,927.2
13/10/2025,PT,fuel_oil_1,
13/10/2025,PT,fuel_oil_2,823
13/10/2025,RO,exchange_rate,0.196556333
13/10/2025,RO,euro95,1458.9
13/10/2025,RO,diesel,1502.1
13/10/2025,RO,heading_oil,861.7
13/10/2025,RO,fuel_oil_1,601.3
13/10/2025,RO,fuel_oil_2,
13/10/2025,RO,LPG,713.7
13/10/2025,SE,exchange_rate,0.09080178
13/10/2025,SE,euro95,1439.9
13/10/2025,SE,diesel,1488.1
13/10/2025,SE,heading_oil,1169.5
13/10/2025,SE,fuel_oil_1,837.5
13/10/2025,SE,fuel_oil_2,
13/10/2025,SE,LPG,
13/10/2025,SI,exchange_rate,1
13/10/2025,SI,euro95,1461.4
13/10/2025,SI,diesel,1487.8
13/10/2025,SI,heading_oil,1129
13/10/2025,SI,fuel_oil_1,
13/10/2025,SI,fuel_oil_2,
13/10/2025,SI,LPG,882.3
13/10/2025,SK,exchange_rate,1
13/10/2025,SK,euro95,1513
13/10/2025,SK,diesel,1453
13/10/2025,SK,heading_oil,
13/10/2025,SK,fuel_oil_1,591.7
13/10/2025,SK,fuel_oil_2,585
13/10/2025,SK,LPG,676
06/10/2025,EU,exchange_rate,1626.60
06/10/2025,EU,euro95,1539.93
06/10/2025,EU,diesel,956.53
06/10/2025,EU,heading_oil,679.49
06/10/2025,EU,fuel_oil_1,448
06/10/2025,EU,fuel_oil_2,668.94
06/10/2025,EUR,exchange_rate,1674.91
06/10/2025,EUR,euro95,1566.73
06/10/2025,EUR,diesel,941.1
06/10/2025,EUR,heading_oil,634.94
06/10/2025,EUR,fuel_oil_1,421.4
06/10/2025,EUR,fuel_oil_2,733.16
06/10/2025,AT,exchange_rate,1502
06/10/2025,AT,euro95,1514
06/10/2025,AT,diesel,1071.6
06/10/2025,AT,heading_oil,
06/10/2025,AT,fuel_oil_1,
06/10/2025,AT,fuel_oil_2,
06/10/2025,BE,exchange_rate,1558.1
06/10/2025,BE,euro95,1668.7
06/10/2025,BE,diesel,765.2
06/10/2025,BE,heading_oil,388.3
06/10/2025,BE,fuel_oil_1,
06/10/2025,BE,fuel_oil_2,824
06/10/2025,BG,exchange_rate,0.511299724
06/10/2025,BG,euro95,1215.5
06/10/2025,BG,diesel,1205.4
06/10/2025,BG,heading_oil,
06/10/2025,BG,fuel_oil_1,
06/10/2025,BG,fuel_oil_2,
06/10/2025,BG,LPG,540.6
06/10/2025,CY,exchange_rate,1
06/10/2025,CY,euro95,1354
06/10/2025,CY,diesel,1443.9
06/10/2025,CY,heading_oil,1004.6
06/10/2025,CY,fuel_oil_1,819.6
06/10/2025,CY,fuel_oil_2,
06/10/2025,CY,LPG,
06/10/2025,CZ,exchange_rate,0.04113872
06/10/2025,CZ,euro95,1414.2
06/10/2025,CZ,diesel,1369.3
06/10/2025,CZ,heading_oil,831.9
06/10/2025,CZ,fuel_oil_1,
06/10/2025,CZ,fuel_oil_2,
06/10/2025,CZ,LPG,695.1
06/10/2025,DE,exchange_rate,1721
06/10/2025,DE,euro95,1590
06/10/2025,DE,diesel,928.9
06/10/2025,DE,heading_oil,
06/10/2025,DE,fuel_oil_1,
06/10/2025,DE,fuel_oil_2,1017.9
06/10/2025,DK,exchange_rate,0.133927974
06/10/2025,DK,euro95,1952.7
06/10/2025,DK,diesel,1727.7
06/10/2025,DK,heading_oil,1734.6
06/10/2025,DK,fuel_oil_1,1537.1
06/10/2025,DK,fuel_oil_2,
06/10/2025,DK,LPG,
06/10/2025,EE,exchange_rate,1
06/10/2025,EE,euro95,1444
06/10/2025,EE,diesel,1301
06/10/2025,EE,heading_oil,1003
06/10/2025,EE,fuel_oil_1,
06/10/2025,EE,fuel_oil_2,
06/10/2025,EE,LPG,896
06/10/2025,ES,exchange_rate,1481.7
06/10/2025,ES,euro95,1412.7
06/10/2025,ES,diesel,907.4
06/10/2025,ES,heading_oil,580.9
06/10/2025,ES,fuel_oil_1,
06/10/2025,ES,fuel_oil_2,938.1
06/10/2025,FI,exchange_rate,1625.6
06/10/2025,FI,euro95,1532
06/10/2025,FI,diesel,1252.7
06/10/2025,FI,heading_oil,
06/10/2025,FI,fuel_oil_1,
06/10/2025,FI,fuel_oil_2,
06/10/2025,FR,exchange_rate,1726.1
06/10/2025,FR,euro95,1622.1
06/10/2025,FR,diesel,1119.4
06/10/2025,FR,heading_oil,
06/10/2025,FR,fuel_oil_1,
06/10/2025,FR,fuel_oil_2,951.2
06/10/2025,GR,exchange_rate,1751
06/10/2025,GR,euro95,1544
06/10/2025,GR,diesel,
06/10/2025,GR,heading_oil,667.8
06/10/2025,GR,fuel_oil_1,
06/10/2025,GR,fuel_oil_2,
06/10/2025,HR,exchange_rate,1
06/10/2025,HR,euro95,1479
06/10/2025,HR,diesel,1442
06/10/2025,HR,heading_oil,880
06/10/2025,HR,fuel_oil_1,604.6
06/10/2025,HR,fuel_oil_2,
06/10/2025,HR,LPG,835
06/10/2025,HU,exchange_rate,0.002569835
06/10/2025,HU,euro95,1485
06/10/2025,HU,diesel,1505
06/10/2025,HU,heading_oil,1505
06/10/2025,HU,fuel_oil_1,880.1
06/10/2025,HU,fuel_oil_2,
06/10/2025,HU,LPG,829.5
06/10/2025,IE,exchange_rate,1717
06/10/2025,IE,euro95,1664.2
06/10/2025,IE,diesel,952.6
06/10/2025,IE,heading_oil,941.2
06/10/2025,IE,fuel_oil_1,
06/10/2025,IE,fuel_oil_2,
06/10/2025,IT,exchange_rate,1708.9
06/10/2025,IT,euro95,1636
06/10/2025,IT,diesel,1381.1
06/10/2025,IT,heading_oil,531.1
06/10/2025,IT,fuel_oil_1,
06/10/2025,IT,fuel_oil_2,695.1
06/10/2025,LT,exchange_rate,1
06/10/2025,LT,euro95,1400.9
06/10/2025,LT,diesel,1472.3
06/10/2025,LT,heading_oil,847.5
06/10/2025,LT,fuel_oil_1,
06/10/2025,LT,fuel_oil_2,
06/10/2025,LT,LPG,665.3
06/10/2025,LU,exchange_rate,1491
06/10/2025,LU,euro95,1430
06/10/2025,LU,diesel,863
06/10/2025,LU,heading_oil,
06/10/2025,LU,fuel_oil_1,
06/10/2025,LU,fuel_oil_2,669
06/10/2025,LV,exchange_rate,1
06/10/2025,LV,euro95,1534.5
06/10/2025,LV,diesel,1516.5
06/10/2025,LV,heading_oil,1269.1
06/10/2025,LV,fuel_oil_1,
06/10/2025,LV,fuel_oil_2,
06/10/2025,LV,LPG,896.8
06/10/2025,MT,exchange_rate,1340
06/10/2025,MT,euro95,1210
06/10/2025,MT,diesel,1000
06/10/2025,MT,heading_oil,
06/10/2025,MT,fuel_oil_1,
06/10/2025,MT,fuel_oil_2,
06/10/2025,NL,exchange_rate,1935.8
